Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Evanilson,BRA,FW,Bournemouth,24,2319,10,1,1,1,12.5,1.9,29,28,99,0.39,0.04,0.48,0.07,43.1,1.2,0.14,12.8,244,71.3,3038,76.2,75.0,68.8,26,14,6,0,N/A,N/A,N/A,16,10,12,4,11,2,9,1,558,23,56,208,299,127,33.3,38.1,333,861,18,15,38,24,400,37,53,20,0,67,42,62,40.4
Ezri Konsa,ENG,DF,Aston Villa,26,2936,2,0,1,0,1.3,0.4,24,90,11,0.06,0.0,0.04,0.01,45.5,0.15,0.18,8.8,1555,92.9,26299,96.7,95.6,65.3,6,106,2,0,N/A,N/A,N/A,34,18,25,5,20,11,9,24,1915,250,883,934,107,22,44.4,38.9,1132,3008,15,2,17,10,1338,9,47,1,5,97,31,23,57.4
Fabian Schär,SUI,DF,Newcastle Utd,32,2934,4,0,9,1,3.7,0.4,18,118,22,0.12,0.0,0.11,0.01,27.5,0.34,0.1,19.8,1654,83.7,33173,92.3,92.9,51.2,5,161,13,0,N/A,N/A,N/A,36,21,35,21,38,25,13,45,2319,266,1178,991,162,42,61.5,23.1,1438,3744,27,2,12,6,1609,35,15,4,13,134,56,71,44.1
Fabio Carvalho,POR,"FW,MF",Brentford,21,455,2,1,1,0,2.5,0.7,9,17,23,0.4,0.2,0.49,0.13,41.7,0.99,0.17,14.7,126,70.8,1755,83.0,71.1,38.9,4,11,5,1,N/A,N/A,N/A,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14.3,71.4,137,356,3,0,13,8,145,5,10,1,10,30,2,6,25.0
Facundo Buonanotte,ARG,"FW,MF",Leicester City,19,1523,5,2,8,0,3.9,3.1,39,54,74,0.3,0.12,0.23,0.18,33.3,0.71,0.14,17.6,437,76.4,6930,85.5,82.4,47.3,24,41,13,2,N/A,N/A,N/A,53,32,67,46,34,6,28,12,874,26,128,452,307,39,33.7,59.0,479,1347,26,9,58,39,528,37,35,3,43,79,18,36,33.3
Federico Chiesa,ITA,FW,Liverpool,26,108,0,0,0,0,0.3,0.2,3,3,7,0.0,0.0,0.28,0.15,40.0,1.67,0.0,20.4,27,87.1,373,94.4,75.0,100.0,2,4,1,0,N/A,N/A,N/A,1,0,2,2,1,0,1,0,46,2,10,15,21,4,0.0,100.0,31,58,1,1,3,4,33,3,2,0,2,6,0,4,0.0
Ferdi Kadioglu,TUR,"DF,MF",Brighton,24,385,1,0,1,0,0.4,0.2,1,15,27,0.23,0.0,0.1,0.04,25.0,0.23,0.25,15.1,144,82.3,2372,89.0,82.4,64.3,5,10,9,4,N/A,N/A,N/A,10,6,15,9,2,2,0,8,231,13,71,91,72,9,42.9,42.9,124,183,0,0,6,2,144,5,3,1,9,14,3,1,75.0
Filip Jørgensen,DEN,GK,Chelsea,22,540,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,158,83.6,2843,100.0,97.5,27.5,0,1,0,0,1.5,71.4,16.7,0,0,0,0,0,0,0,0,202,174,201,1,0,0,N/A,N/A,145,423,0,0,0,0,139,1,1,0,0,5,0,0,N/A
Flynn Downes,ENG,MF,Southampton,25,2151,1,0,12,0,0.6,1.1,29,66,29,0.04,0.0,0.03,0.05,30.0,0.13,0.1,18.7,1003,90.4,14646,93.1,92.1,69.8,15,62,12,0,N/A,N/A,N/A,49,25,36,21,28,9,19,32,1339,99,403,719,227,21,40.0,40.0,641,1826,21,4,15,17,945,50,39,0,4,83,17,17,50.0
Fraser Forster,ENG,GK,Tottenham,36,630,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,168,84.8,3349,98.2,95.6,48.9,0,1,0,0,2.14,69.0,14.3,0,0,1,1,0,0,0,0,228,212,228,0,0,0,100.0,0.0,113,264,0,0,1,0,94,0,0,0,0,1,1,0,100.0
Gabriel Jesus,BRA,FW,Arsenal,27,608,3,0,4,0,3.0,0.7,15,19,57,0.44,0.0,0.44,0.1,35.0,1.04,0.15,11.1,156,76.8,2030,80.5,87.2,66.7,8,10,9,1,N/A,N/A,N/A,10,6,9,5,10,1,9,4,299,9,28,108,165,48,40.9,45.5,179,432,6,11,13,13,217,14,10,9,7,28,9,18,33.3
Gabriel Magalhães,BRA,DF,Arsenal,26,2363,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,N/A,N/A,N/A,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,80.0,20.0,1116,2669,22,0,9,2,1366,19,19,0,9,63,53,37,58.9
Gabriel Martinelli,BRA,"FW,MF",Arsenal,23,2290,8,4,1,0,7.4,5.0,124,52,289,0.31,0.16,0.29,0.19,43.6,0.94,0.15,12.9,499,71.4,7113,84.2,69.9,50.0,40,11,37,15,N/A,N/A,N/A,23,15,23,16,15,0,15,5,994,17,102,247,660,182,30.3,55.0,670,2620,33,64,50,38,752,16,21,8,92,78,17,39,30.4
George Hirst,SCO,FW,Ipswich Town,25,661,3,1,3,0,2.1,0.3,9,13,31,0.41,0.14,0.29,0.05,50.0,0.95,0.21,11.3,69,56.6,785,68.1,50.0,33.3,4,1,4,0,N/A,N/A,N/A,3,3,4,3,1,1,0,2,188,12,28,61,101,28,33.3,50.0,101,211,2,7,21,16,161,13,12,3,3,12,32,23,58.2
Georginio Rutter,FRA,"MF,FW",Brighton,22,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,24.0,0.65,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,N/A,N/A,N/A,39,15,36,22,20,3,17,10,641,20,83,246,326,79,38.0,47.9,361,1405,36,16,45,37,411,34,45,7,9,66,25,46,35.2
Gonçalo Guedes,POR,"MF,FW",Wolves,27,995,2,4,1,0,3.2,1.3,41,40,79,0.18,0.36,0.29,0.11,29.6,0.72,0.07,18.9,259,74.2,4193,86.7,75.8,48.6,14,18,17,5,N/A,N/A,N/A,16,5,16,12,11,0,11,5,484,6,49,199,250,40,32.1,53.6,304,1056,27,8,38,18,337,15,17,3,22,36,5,13,27.8
Guglielmo Vicario,ITA,GK,Tottenham,27,2160,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,764,87.4,15137,99.2,96.6,49.4,0,2,0,0,1.54,64.7,16.7,0,0,0,0,0,0,0,1,928,626,910,18,0,0,100.0,0.0,661,1700,0,0,0,0,597,0,2,0,0,32,9,0,100.0
Guido Rodríguez,ARG,MF,West Ham,30,1149,0,1,6,0,0.2,0.2,4,33,7,0.0,0.08,0.02,0.01,12.5,0.08,0.0,27.8,480,84.4,8091,87.9,90.7,64.4,4,37,1,0,N/A,N/A,N/A,36,19,33,16,23,9,14,13,709,54,223,423,64,5,50.0,16.7,327,481,5,2,4,7,408,18,12,2,5,53,11,7,61.1
Hamza Choudhury,BAN,"MF,DF",Leicester City,26,131,0,0,0,0,0.0,0.4,4,3,6,0.0,0.0,0.0,0.27,N/A,0.0,N/A,N/A,72,85.7,991,94.0,79.3,50.0,2,10,1,1,N/A,N/A,N/A,1,1,3,2,4,2,2,5,100,4,19,61,20,3,75.0,25.0,63,130,2,2,1,0,71,1,0,0,5,2,0,0,N/A
Harrison Reed,ENG,MF,Fulham,29,108,0,0,2,0,0.2,0.1,1,4,7,0.0,0.0,0.21,0.07,66.7,1.67,0.0,21.7,39,70.9,550,87.5,76.5,40.0,1,1,1,0,N/A,N/A,N/A,6,3,3,2,1,0,1,1,78,2,11,28,40,5,0.0,50.0,31,27,1,0,2,2,38,6,2,0,6,10,1,2,33.3
Harry Amass,ENG,DF,Manchester Utd,17,346,0,0,0,0,0.1,0.0,9,7,23,0.0,0.0,0.02,0.01,0.0,0.0,0.0,21.7,149,82.3,1920,92.4,78.6,27.3,1,5,0,0,N/A,N/A,N/A,6,2,8,6,11,1,10,2,250,13,82,88,84,5,37.5,50.0,132,376,6,2,18,5,124,2,4,1,9,26,7,6,53.8
Harry Clarke,ENG,DF,Ipswich Town,23,379,0,0,3,1,0.1,0.0,5,14,2,0.0,0.0,0.02,0.01,100.0,0.24,0.0,4.5,190,80.5,3442,91.6,87.5,57.5,1,21,1,0,N/A,N/A,N/A,5,3,6,3,5,4,1,4,268,18,100,122,47,2,50.0,50.0,118,222,7,0,4,2,163,5,1,0,5,17,10,4,71.4
Harry Maguire,ENG,DF,Manchester Utd,31,1758,1,0,7,0,1.8,0.6,7,51,7,0.05,0.0,0.09,0.03,40.0,0.31,0.07,8.2,965,85.5,17965,90.3,91.0,57.6,9,48,4,0,N/A,N/A,N/A,30,15,23,6,15,12,3,40,1328,147,652,616,76,44,40.0,60.0,782,2056,9,3,10,2,856,18,11,2,4,68,64,25,71.9
Harry Toffolo,ENG,DF,Nott'ham Forest,28,137,0,0,1,0,0.0,0.0,0,2,4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,28.5,47,70.1,653,93.8,62.5,14.3,0,1,0,0,N/A,N/A,N/A,5,3,4,1,2,2,0,2,88,9,32,22,34,2,N/A,N/A,17,23,0,0,0,0,30,1,0,0,4,2,1,0,100.0
Harry Wilson,WAL,"FW,MF",Fulham,27,1162,6,1,2,0,4.2,1.1,22,51,96,0.46,0.08,0.33,0.09,39.5,1.32,0.14,18.0,326,73.3,5413,85.5,77.6,40.8,20,26,15,1,N/A,N/A,N/A,20,14,18,6,15,1,14,7,598,11,81,203,324,63,37.5,41.7,342,864,18,11,19,6,390,12,22,1,41,55,5,20,20.0
Harry Winks,ENG,MF,Leicester City,28,1538,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,40.0,0.23,0.0,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,N/A,N/A,N/A,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,25.0,66.7,696,1522,13,0,13,8,827,9,13,0,34,106,8,6,57.1
Harvey Barnes,ENG,FW,Newcastle Utd,26,1755,9,4,0,0,7.2,4.0,93,83,192,0.46,0.21,0.37,0.2,31.7,1.03,0.14,15.1,474,78.1,6642,86.8,73.0,53.8,26,25,41,9,N/A,N/A,N/A,16,9,11,8,8,2,6,6,810,17,97,257,462,128,37.5,51.6,561,2467,48,47,33,23,647,15,22,5,47,55,6,15,28.6
Harvey Elliott,ENG,MF,Liverpool,21,371,1,2,1,0,1.8,1.1,10,44,30,0.24,0.49,0.43,0.26,23.5,0.97,0.06,16.9,240,82.2,4164,92.3,84.3,66.7,10,26,6,0,N/A,N/A,N/A,5,3,8,6,7,2,5,1,339,5,32,164,144,21,44.4,44.4,188,408,11,5,5,4,253,0,1,1,12,15,1,2,33.3
Hwang Hee-chan,KOR,"MF,FW",Wolves,28,661,2,0,0,0,0.8,0.1,15,12,42,0.27,0.0,0.11,0.02,60.0,0.41,0.4,17.4,166,81.4,2152,87.3,84.3,80.0,3,7,4,2,N/A,N/A,N/A,6,4,6,4,9,0,9,2,271,10,42,105,126,24,14.3,85.7,159,448,5,7,14,10,181,6,9,0,8,28,3,9,25.0
Hákon Valdimarsson,ISL,GK,Brentford,22,145,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,46,65.7,1445,100.0,100.0,41.5,0,2,0,0,1.24,50.0,100.0,0,0,0,0,0,0,0,0,72,60,71,1,0,0,N/A,N/A,44,80,0,0,0,0,36,0,0,0,0,1,1,0,100.0
Ian Maatsen,NED,DF,Aston Villa,22,1139,1,2,2,0,0.9,2.7,31,50,104,0.08,0.16,0.07,0.22,26.3,0.4,0.05,22.1,609,81.5,9635,88.7,85.1,50.0,19,22,19,3,N/A,N/A,N/A,29,17,24,7,13,0,13,15,917,56,247,334,348,47,44.8,55.2,505,1184,17,13,22,25,564,11,9,3,51,67,10,6,62.5
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26,590,0,1,3,0,0.0,0.4,1,27,4,0.0,0.15,0.0,0.06,100.0,0.15,0.0,32.0,276,85.4,4521,89.6,92.1,64.5,4,28,4,1,N/A,N/A,N/A,28,14,17,9,10,4,6,6,407,26,110,247,52,7,0.0,100.0,171,283,2,0,5,4,236,15,8,0,2,42,10,10,50.0
Ibrahima Konaté,FRA,DF,Liverpool,25,2560,1,2,5,0,1.7,1.0,25,115,3,0.04,0.07,0.06,0.03,15.8,0.11,0.05,10.5,1718,90.2,31820,93.8,95.0,55.0,10,143,9,0,N/A,N/A,N/A,40,26,35,10,29,15,14,17,2185,223,928,1145,119,23,50.0,33.3,1290,3603,15,0,8,2,1576,27,20,0,0,98,74,29,71.8
Idrissa Gana Gueye,SEN,MF,Everton,34,3063,0,3,9,0,1.1,1.7,27,145,27,0.0,0.09,0.03,0.05,18.5,0.15,0.0,25.2,1230,86.5,20779,91.0,90.4,72.2,19,154,10,3,N/A,N/A,N/A,133,80,99,41,48,9,39,48,1801,72,432,1045,336,21,46.2,48.7,861,1752,27,4,32,38,1048,55,46,0,7,194,24,15,61.5
Igor,BRA,DF,Brighton,26,961,0,0,4,0,0.0,0.2,9,49,1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,14.1,671,91.9,12145,96.7,94.8,71.2,2,39,2,1,N/A,N/A,N/A,5,5,10,6,24,14,10,4,816,109,385,381,54,1,83.3,16.7,530,1837,14,0,1,0,606,9,6,0,4,42,8,6,57.1
Iliman Ndiaye,SEN,FW,Everton,24,2430,9,0,3,0,6.2,1.9,86,59,122,0.33,0.0,0.23,0.07,42.9,0.56,0.2,17.1,602,81.8,9038,86.8,87.0,69.1,18,42,14,5,N/A,N/A,N/A,53,28,49,27,30,5,25,20,1084,36,219,451,464,83,47.6,44.8,621,2367,44,32,55,44,674,24,52,5,38,172,6,19,24.0
Illia Zabarnyi,UKR,DF,Bournemouth,21,3109,0,1,4,1,1.3,0.7,27,140,4,0.0,0.03,0.04,0.02,8.3,0.03,0.0,9.8,1404,82.1,29649,89.2,91.1,54.0,12,153,7,0,N/A,N/A,N/A,52,36,50,16,33,20,13,41,2062,234,929,1078,77,16,66.7,22.2,1282,4948,21,0,14,3,1306,20,7,0,6,157,77,44,63.6
Ismaila Sarr,SEN,MF,Crystal Palace,26,2711,8,6,4,0,10.7,8.5,75,85,183,0.27,0.2,0.35,0.28,49.2,0.96,0.14,13.2,490,66.0,7257,73.8,71.2,44.0,44,28,42,9,N/A,N/A,N/A,22,10,25,17,27,8,19,9,1091,48,180,411,511,135,27.9,57.4,607,2108,47,28,70,43,739,14,56,11,55,113,37,52,41.6
Issa Diop,FRA,DF,Fulham,27,1339,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,N/A,N/A,N/A,26,12,18,5,10,7,3,9,903,125,498,381,26,13,50.0,50.0,533,1216,2,0,9,2,617,10,4,0,1,45,20,12,62.5
Jack Clarke,ENG,"FW,MF",Ipswich Town,23,1181,0,4,2,0,1.2,2.3,39,44,57,0.0,0.3,0.09,0.17,11.8,0.15,0.0,18.9,302,76.8,4942,87.3,85.6,51.6,28,27,9,0,N/A,N/A,N/A,32,20,34,17,9,0,9,7,553,24,125,229,215,38,50.0,36.0,311,1217,21,12,25,22,338,15,23,3,13,75,7,18,28.0
Jack Grealish,ENG,"FW,MF",Manchester City,28,721,1,1,3,0,1.1,1.8,69,52,118,0.12,0.12,0.14,0.23,33.3,0.62,0.07,16.3,382,87.6,5685,93.2,87.8,69.2,24,23,16,0,N/A,N/A,N/A,9,5,5,3,12,2,10,2,521,15,42,162,324,71,44.8,31.0,376,1714,23,46,10,16,423,5,25,0,20,26,1,7,12.5
Jack Harrison,ENG,FW,Everton,27,2076,1,0,0,0,3.5,3.7,73,51,127,0.04,0.0,0.15,0.16,24.1,0.3,0.03,16.2,414,62.8,6596,81.0,67.0,33.3,33,28,25,11,N/A,N/A,N/A,32,22,46,31,18,2,16,10,948,36,157,336,463,69,32.0,57.3,524,1639,36,17,52,41,612,13,28,4,131,73,4,28,12.5
Jack Hinshelwood,ENG,"MF,DF",Brighton,19,1842,5,2,5,0,2.7,1.5,19,68,54,0.24,0.1,0.13,0.07,55.6,0.49,0.28,12.2,870,83.2,13114,90.7,84.1,52.3,17,36,9,2,N/A,N/A,N/A,27,19,27,16,10,3,7,16,1199,50,322,560,323,35,18.2,72.7,590,1189,20,2,18,3,762,18,9,0,27,63,20,16,55.6
Jack Stephens,ENG,DF,Southampton,30,1389,1,0,2,2,0.6,0.2,14,63,2,0.06,0.0,0.04,0.01,50.0,0.13,0.25,11.0,879,92.0,15471,93.0,94.3,83.1,3,51,5,0,N/A,N/A,N/A,34,20,30,13,20,13,7,13,1097,128,461,543,97,11,0.0,100.0,631,1407,12,1,3,3,783,13,4,1,1,44,6,10,37.5
Jack Taylor,IRL,MF,Ipswich Town,26,860,1,0,4,0,0.7,0.5,11,43,23,0.1,0.0,0.08,0.06,21.1,0.42,0.05,23.9,349,82.9,6188,88.1,87.8,60.4,5,30,8,1,N/A,N/A,N/A,20,10,27,15,12,3,9,9,534,32,161,281,103,8,36.4,36.4,254,791,10,1,10,6,345,16,5,0,7,53,7,8,46.7
Jacob Greaves,ENG,DF,Ipswich Town,23,2205,1,0,5,0,1.3,0.3,11,69,11,0.04,0.0,0.05,0.01,40.0,0.16,0.1,9.7,962,85.8,15937,92.3,89.2,44.3,5,75,2,0,N/A,N/A,N/A,40,21,35,13,41,26,15,21,1404,276,746,568,95,22,66.7,16.7,619,1268,11,0,10,2,851,16,21,1,1,61,83,40,67.5
Jacob Murphy,ENG,FW,Newcastle Utd,29,2360,8,12,4,0,5.7,8.9,79,83,231,0.31,0.46,0.22,0.34,34.9,0.57,0.19,18.2,688,68.5,10412,84.9,68.1,39.4,42,58,41,15,N/A,N/A,N/A,28,19,44,24,31,0,31,13,1271,27,188,474,622,92,50.7,44.9,733,2339,40,27,32,37,911,11,15,3,120,98,5,16,23.8
Jacob Ramsey,ENG,"FW,MF",Aston Villa,23,1623,1,3,4,1,1.6,2.3,61,68,114,0.06,0.17,0.09,0.13,21.1,0.22,0.05,16.8,497,84.8,6645,91.3,83.6,75.0,21,31,21,1,N/A,N/A,N/A,30,15,20,10,23,4,19,8,762,12,146,272,359,74,54.3,28.3,496,1766,31,21,42,23,577,13,28,5,12,83,7,13,35.0
Jaden Philogene Bidace,ENG,"FW,DF",Ipswich Town,22,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,41.7,0.95,0.17,16.4,95,72.5,1536,84.4,73.2,50.0,5,7,4,3,N/A,N/A,N/A,14,7,15,7,11,1,10,10,220,10,53,68,101,18,27.8,61.1,127,305,3,5,11,10,133,8,10,1,13,23,5,3,62.5
Jadon Sancho,ENG,FW,Chelsea,24,1764,3,4,2,0,2.2,3.7,102,90,225,0.15,0.2,0.11,0.19,33.3,0.41,0.13,15.1,663,82.6,8932,89.5,83.2,51.9,38,28,48,0,N/A,N/A,N/A,13,7,12,7,11,0,11,2,975,13,117,283,585,121,46.4,41.2,653,2435,35,57,30,21,760,6,11,6,25,99,6,11,35.3
Jahmai Simpson-Pusey,ENG,DF,Manchester City,18,96,0,0,1,0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,107,93.0,1754,95.9,96.6,42.9,0,3,0,0,N/A,N/A,N/A,1,0,1,1,1,1,0,0,123,9,61,59,3,1,0.0,0.0,79,190,0,0,1,0,101,0,1,0,0,3,1,3,25.0
Jake O'Brien,IRL,DF,Everton,23,1571,2,0,5,0,0.8,0.6,7,50,25,0.11,0.0,0.04,0.03,50.0,0.17,0.33,11.1,577,79.6,10580,89.4,82.0,64.3,6,41,8,5,N/A,N/A,N/A,26,17,25,8,17,4,13,4,900,93,374,390,139,22,40.0,50.0,391,906,6,2,5,5,481,13,5,3,18,52,41,30,57.7
Jakub Kiwior,POL,DF,Arsenal,24,1122,1,0,1,0,0.2,0.3,5,48,1,0.08,0.0,0.01,0.03,33.3,0.08,0.33,18.5,673,91.4,11598,94.6,95.2,56.6,5,65,3,0,N/A,N/A,N/A,22,8,15,4,13,8,5,6,846,100,281,494,72,5,60.0,40.0,492,1037,7,1,3,2,615,10,4,1,2,31,11,13,45.8
Jakub Stolarczyk,POL,GK,Leicester City,23,900,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,238,61.7,6215,100.0,96.8,34.5,0,2,0,0,1.6,63.6,20.0,2,1,2,1,0,0,0,0,411,309,406,6,0,0,N/A,N/A,221,595,0,0,1,0,225,0,0,0,0,8,5,0,100.0
James Bree,ENG,DF,Southampton,26,1075,0,1,0,0,0.1,0.9,13,34,43,0.0,0.08,0.01,0.08,25.0,0.08,0.0,22.7,500,83.5,7922,90.3,87.0,51.9,10,29,7,6,N/A,N/A,N/A,19,14,25,15,10,3,7,9,694,49,221,308,170,11,50.0,25.0,363,808,12,1,9,5,443,4,5,0,29,65,12,7,63.2
James Garner,ENG,"MF,DF",Everton,23,1594,0,1,5,0,0.7,1.4,15,50,30,0.0,0.06,0.04,0.08,33.3,0.23,0.0,20.4,611,76.1,10658,86.7,82.8,49.2,13,60,7,4,N/A,N/A,N/A,47,31,41,17,20,4,16,23,977,40,226,511,248,15,36.8,63.2,478,842,19,2,16,9,550,20,15,0,57,73,11,13,45.8
James Hill,ENG,DF,Bournemouth,22,448,0,1,1,0,0.3,0.3,3,16,8,0.0,0.2,0.06,0.05,0.0,0.0,0.0,13.9,159,64.9,3098,76.1,77.3,36.2,3,20,6,0,N/A,N/A,N/A,15,8,11,8,5,0,5,9,319,19,99,167,54,8,50.0,50.0,146,295,6,0,2,0,179,7,5,0,10,13,14,12,53.8
James Justin,ENG,DF,Leicester City,26,2912,2,2,6,0,1.5,0.8,39,91,96,0.06,0.06,0.05,0.03,24.0,0.19,0.08,16.2,1205,78.2,18606,87.0,84.8,35.3,14,76,23,8,N/A,N/A,N/A,58,37,55,23,48,17,31,46,1948,151,692,881,387,38,30.0,43.3,866,1788,27,4,31,15,1077,29,44,2,57,88,69,55,55.6
James Maddison,ENG,MF,Tottenham,27,1809,9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,N/A,N/A,N/A,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,42.9,44.2,1026,2279,39,20,23,25,1125,32,64,4,98,76,5,7,41.7
James Mcatee,ENG,"MF,FW",Manchester City,21,349,3,0,1,0,2.8,0.5,7,7,32,0.77,0.0,0.72,0.13,33.3,1.03,0.25,14.3,100,80.0,1491,87.7,88.9,33.3,3,7,2,0,N/A,N/A,N/A,5,2,7,6,8,0,8,2,168,2,17,62,90,21,28.6,71.4,96,211,6,1,5,1,122,6,3,0,8,8,2,3,40.0
James Milner,ENG,MF,Brighton,38,170,0,0,1,0,0.2,0.2,1,10,10,0.0,0.0,0.09,0.12,0.0,0.0,0.0,16.0,55,74.3,899,92.9,76.7,36.4,4,3,1,1,N/A,N/A,N/A,5,2,3,0,4,2,2,2,93,3,13,49,31,4,100.0,0.0,47,97,1,0,0,0,59,3,1,0,8,2,0,1,0.0
James Tarkowski,ENG,DF,Everton,31,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,N/A,N/A,N/A,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,71.4,28.6,727,1943,10,0,13,7,927,35,28,2,1,98,102,33,75.6
James Ward-Prowse,ENG,MF,Nott'ham Forest,29,400,0,1,2,1,0.1,1.1,1,16,3,0.0,0.23,0.01,0.25,50.0,0.23,0.0,29.0,145,79.7,2296,93.2,86.9,34.8,4,16,2,0,N/A,N/A,N/A,4,1,2,0,3,2,1,5,205,13,49,115,45,1,N/A,N/A,92,170,3,0,3,3,115,7,2,0,19,19,3,5,37.5
Jamie Vardy,ENG,FW,Leicester City,37,2823,9,4,5,0,11.2,3.0,29,22,120,0.29,0.13,0.36,0.1,41.1,0.73,0.14,12.1,258,66.3,3776,74.2,75.4,68.2,19,11,10,1,N/A,N/A,N/A,19,13,13,9,8,4,4,5,586,30,61,272,260,111,47.8,43.5,285,717,13,16,34,14,382,25,23,27,11,39,50,55,47.6
Jan Bednarek,POL,DF,Southampton,28,2531,2,0,7,0,0.7,0.5,5,60,2,0.07,0.0,0.02,0.02,40.0,0.07,0.4,16.0,1564,92.7,27781,95.2,94.8,76.6,5,72,1,0,N/A,N/A,N/A,36,19,31,15,47,36,11,56,2049,386,1091,924,41,15,100.0,0.0,1046,1742,5,1,9,3,1307,31,13,0,1,106,71,37,65.7
Jan Paul van Hecke,NED,DF,Brighton,24,2958,1,1,8,1,1.3,1.5,55,228,5,0.03,0.03,0.04,0.05,29.4,0.15,0.06,13.9,2016,88.2,39486,93.5,93.2,65.6,15,226,17,4,N/A,N/A,N/A,45,29,41,18,37,22,15,24,2589,272,1094,1350,166,33,45.5,36.4,1715,7191,46,0,12,7,1820,25,24,0,11,131,82,50,62.1
Jannik Vestergaard,DEN,DF,Leicester City,31,1391,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,N/A,N/A,N/A,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,100.0,0.0,672,1458,3,0,2,0,757,12,4,0,0,46,26,19,57.8
Jarell Quansah,ENG,DF,Liverpool,21,495,0,0,2,0,0.1,0.1,3,19,4,0.0,0.0,0.02,0.02,0.0,0.0,0.0,8.9,356,90.8,6327,97.2,92.5,62.5,2,22,1,0,N/A,N/A,N/A,12,8,10,3,10,7,3,7,464,80,245,189,30,6,33.3,66.7,268,709,4,1,5,2,321,9,1,0,2,19,7,10,41.2
Jarrad Branthwaite,ENG,DF,Everton,22,2511,0,1,4,0,1.2,0.7,10,66,2,0.0,0.04,0.04,0.02,30.0,0.11,0.0,8.2,984,82.1,19285,90.0,90.5,55.5,3,86,3,0,N/A,N/A,N/A,36,20,28,8,31,23,8,27,1520,211,783,676,69,28,50.0,33.3,747,2515,14,2,8,4,894,12,18,1,5,93,61,42,59.2
