Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Dango Ouattara,BFA,FW,Bournemouth,22,2005,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,32.3,0.9,0.11,13.5,367,60.0,5725,72.9,62.2,37.3,35,21,26,11,N/A,N/A,N/A,35,26,41,24,36,10,26,11,959,62,165,316,497,128,47.6,41.5,492,1777,35,38,63,32,577,16,19,14,88,92,45,63,41.7
Daniel Bentley,ENG,GK,Wolves,31,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,49,75.4,1252,100.0,100.0,38.5,0,1,0,0,2.0,66.7,50.0,0,0,0,0,0,0,0,0,69,50,68,1,0,0,N/A,N/A,39,134,0,0,0,0,26,0,0,0,0,4,2,0,100.0
Daniel Jebbison,CAN,FW,Bournemouth,20,119,1,0,1,0,1.0,0.2,4,3,16,0.76,0.0,0.75,0.15,40.0,1.51,0.2,10.6,33,78.6,361,91.3,60.0,50.0,3,1,1,0,N/A,N/A,N/A,5,3,6,2,2,1,1,1,78,3,10,25,44,14,57.1,42.9,44,95,2,5,13,5,47,2,4,0,3,10,2,10,16.7
Daniel Muñoz,COL,DF,Crystal Palace,28,3228,4,5,10,0,4.9,5.5,62,97,206,0.11,0.14,0.14,0.15,37.8,0.39,0.11,12.7,1129,75.7,17091,85.7,77.0,44.4,46,59,35,15,N/A,N/A,N/A,123,80,97,42,40,6,34,44,2010,119,568,826,637,107,37.5,58.9,806,1797,40,18,55,20,956,56,19,15,74,171,58,78,42.6
Danilo,BRA,"MF,FW",Nott'ham Forest,23,275,0,0,0,0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,94,77.7,1541,84.6,84.8,58.3,0,13,0,0,N/A,N/A,N/A,8,4,6,3,2,1,1,4,150,8,54,85,13,0,50.0,50.0,54,61,0,0,6,0,87,2,0,0,3,19,1,2,33.3
Danny Ings,ENG,"FW,MF",West Ham,32,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,35.7,1.58,0.07,15.5,63,68.5,830,83.7,65.5,20.0,6,4,1,0,N/A,N/A,N/A,4,2,3,2,5,0,5,1,139,2,15,51,73,27,57.1,28.6,63,118,0,2,6,6,96,0,2,0,3,9,8,10,44.4
Danny Ward,WAL,GK,Leicester City,31,135,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,41,77.4,1162,100.0,100.0,55.6,0,2,0,0,4.0,40.0,0.0,0,0,0,0,0,0,0,0,55,40,55,0,0,0,0.0,100.0,44,107,0,0,0,0,35,0,0,0,0,1,0,0,N/A
Danny Welbeck,ENG,FW,Brighton,33,2115,10,4,5,0,9.6,1.4,21,47,95,0.43,0.17,0.41,0.06,39.0,0.98,0.15,15.3,417,84.9,4936,87.7,86.7,91.7,23,18,14,0,N/A,N/A,N/A,26,16,20,12,19,4,15,5,726,18,58,318,356,102,35.1,56.8,448,890,23,8,49,28,547,11,23,4,3,46,17,32,34.7
Dara O'Shea,IRL,DF,Ipswich Town,25,3122,0,2,6,0,1.3,0.5,3,80,8,0.0,0.06,0.04,0.01,9.1,0.06,0.0,13.6,1234,78.2,24503,87.2,85.6,49.3,3,89,4,1,N/A,N/A,N/A,49,31,34,12,62,50,12,33,2022,393,1169,730,129,51,50.0,50.0,897,2069,2,0,12,4,1162,21,26,3,8,110,114,85,57.3
Darwin Núñez,URU,FW,Liverpool,25,1133,5,2,8,0,5.8,1.3,23,27,78,0.4,0.16,0.46,0.1,38.2,1.03,0.15,14.3,163,70.9,2390,80.2,73.8,65.0,11,9,3,1,N/A,N/A,N/A,21,18,18,11,6,0,6,4,366,10,45,122,210,74,34.8,60.9,201,568,19,12,24,21,248,27,14,12,3,41,20,33,37.7
