Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Matty Cash,Aston Villa,DF,26,1,1,0.5,1.1,11.098559999999999,EUR 11.1M
Matz Sels,Nott'ham Forest,GK,32,0,0,0.0,0.4,5.722800000000001,EUR 5.7M
Max Kilman,West Ham,DF,27,0,1,1.6,1.2,10.76376,EUR 10.8M
Maxence Lacroix,Crystal Palace,DF,24,1,1,3.4,1.0,11.912159999999998,EUR 11.9M
Michael Kayode,Brentford,DF,20,0,1,0.2,1.2,12.347999999999999,EUR 12.3M
Michael Keane,Everton,DF,31,3,0,0.6,0.1,9.987119999999999,EUR 10.0M
Michail Antonio,West Ham,FW,34,1,1,2.2,1.6,17.382600000000004,EUR 17.4M
Micky van de Ven,Tottenham,DF,23,0,2,0.6,1.2,11.821439999999999,EUR 11.8M
Miguel Almirón,Newcastle Utd,FW,30,0,0,0.5,0.3,18.144,EUR 18.1M
Mikel Merino,Arsenal,"MF,FW",28,7,2,5.9,2.0,23.6061,EUR 23.6M
Mikey Moore,Tottenham,FW,16,0,1,0.2,0.3,24.786,EUR 24.8M
Mikkel Damsgaard,Brentford,"MF,FW",24,2,10,2.8,8.4,26.9514,EUR 27.0M
Milos Kerkez,Bournemouth,DF,20,2,5,0.6,3.9,13.919999999999998,EUR 13.9M
Mohamed Salah,Liverpool,FW,32,29,18,25.2,14.2,38.3724,EUR 38.4M
Mohammed Kudus,West Ham,"FW,MF",23,5,3,6.9,3.1,26.33175,EUR 26.3M
Moisés Caicedo,Chelsea,"MF,DF",22,1,2,0.8,3.0,15.6672,EUR 15.7M
Morato,Nott'ham Forest,DF,23,0,0,0.2,0.0,11.30256,EUR 11.3M
Morgan Gibbs-White,Nott'ham Forest,MF,24,7,8,6.3,5.0,18.9474,EUR 18.9M
Morgan Rogers,Aston Villa,"FW,MF",22,8,10,6.6,7.8,31.406399999999994,EUR 31.4M
Murillo,Nott'ham Forest,DF,22,2,0,1.4,1.2,12.28032,EUR 12.3M
Mykhailo Mudryk,Chelsea,FW,23,0,0,0.3,1.0,21.424949999999995,EUR 21.4M
Myles Lewis-Skelly,Arsenal,DF,17,1,0,0.2,0.4,13.05072,EUR 13.1M
Nathan Aké,Manchester City,DF,29,0,0,0.2,0.0,9.859679999999999,EUR 9.9M
Nathan Broadhead,Ipswich Town,"MF,FW",26,2,0,1.7,0.7,21.067200000000003,EUR 21.1M
Nathan Collins,Brentford,DF,23,2,3,2.5,1.8,12.723840000000001,EUR 12.7M
Nathan Patterson,Everton,DF,22,0,1,0.1,0.4,11.750399999999999,EUR 11.8M
Nathan Wood-Gordon,Southampton,DF,22,0,0,0.2,0.0,11.54304,EUR 11.5M
Nathaniel Clyne,Crystal Palace,"DF,MF",33,0,0,0.0,0.3,11.133299999999997,EUR 11.1M
Neco Williams,Nott'ham Forest,DF,23,1,3,2.3,1.6,12.45312,EUR 12.5M
Neto,Bournemouth,GK,35,0,0,0.0,0.0,5.25,EUR 5.2M
Nick Pope,Newcastle Utd,GK,32,0,0,0.0,0.0,5.700000000000001,EUR 5.7M
Niclas Füllkrug,West Ham,FW,31,3,2,2.2,1.9,19.84905,EUR 19.8M
Nico O’Reilly,Manchester City,DF,19,2,0,1.3,0.4,12.93768,EUR 12.9M
Nicolas Jackson,Chelsea,FW,23,10,5,12.3,4.3,30.477149999999998,EUR 30.5M
Nicolás Domínguez,Nott'ham Forest,"MF,FW",26,0,1,1.5,1.3,20.6514,EUR 20.7M
Nicolás González,Manchester City,MF,22,1,0,0.5,0.1,14.774399999999998,EUR 14.8M
Nikola Milenković,Nott'ham Forest,DF,26,5,2,4.0,1.1,12.47136,EUR 12.5M
Noni Madueke,Chelsea,FW,22,7,3,9.6,4.2,28.576799999999995,EUR 28.6M
Noussair Mazraoui,Manchester Utd,DF,26,0,1,0.7,1.5,10.95072,EUR 11.0M
Nélson Semedo,Wolves,DF,30,0,4,0.9,2.8,10.5312,EUR 10.5M
Ola Aina,Nott'ham Forest,DF,27,2,1,0.6,1.4,11.094,EUR 11.1M
